1.42,-638.00006
1.425,-766.08997
1.43,-904.9635
1.435,-1075.8132
1.44,-1294.4059
1.445,-1566.1548
1.45,-1883.686
1.455,-2227.6636
1.46,-2570.7988
1.465,-2884.1377
1.47,-3144.0857
1.475,-3338.3928
1.48,-3469.5176
1.485,-3554.4167
1.49,-3620.6746
1.495,-3699.817
1.5,-3819.3848
1.505,-3995.7
1.51,-4229.1343
1.515,-4503.127
1.52,-4787.2905
1.525,-5043.9673
1.53,-5236.7217
1.535,-5338.777
1.54,-5339.3687
1.545,-5246.472
1.55,-5085.2104
1.555,-4892.274
1.56,-4707.6484
1.565,-4565.584
1.57,-4486.9297
1.575,-4474.629
1.58,-4513.423
1.585,-4573.797
1.59,-4619.205
1.595,-4614.8433
1.6,-4535.8755
1.605,-4373.193
1.61,-4135.377
1.615,-3846.4758
1.62,-3540.184
1.625,-3251.879
1.63,-3010.438
1.635,-2831.7844
1.64,-2715.6528
1.645,-2646.2766
1.65,-2596.744
1.655,-2535.9062
1.66,-2436.1409
1.665,-2280.1013
1.67,-2064.8823
1.675,-1802.673
1.68,-1517.8292
1.685,-1241.1501
1.69,-1002.77484
1.695,-825.4043
1.7,-719.42505
1.705,-681.0102
1.71,-693.5448
1.715,-731.9312
1.72,-768.67755
1.725,-780.3018
1.73,-752.5741
1.735,-683.45135
1.74,-583.1466
1.745,-471.45715
1.75,-373.09415
1.755,-312.1686
1.76,-307.10504
1.765,-367.0732
1.77,-490.6081
1.775,-666.54504
1.78,-876.8704
1.785,-1100.6967
1.79,-1318.3975
1.795,-1515.0068
1.8,-1682.2471
1.805,-1818.9365
1.81,-1929.9159
1.815,-2023.9464
1.82,-2111.186
1.825,-2200.8462
1.83,-2299.4795
1.835,-2410.1138
1.84,-2532.2107
1.845,-2662.24
1.85,-2794.5793
1.855,-2922.4656
1.86,-3038.8188
1.865,-3136.8894
1.87,-3210.7727
1.875,-3255.8914
1.88,-3269.4988
1.885,-3251.19
1.89,-3203.2915
1.895,-3130.9377
1.9,-3041.6458
1.905,-2944.2832
1.91,-2847.4932
1.915,-2757.8242
1.92,-2677.9824
1.925,-2605.6807
1.93,-2533.5076
1.935,-2450.0364
1.94,-2342.1
1.945,-2197.839
1.95,-2009.8615
1.955,-1777.7394
1.96,-1509.1344
1.965,-1219.1089
1.97,-927.59674
1.975,-655.4659
1.98,-420.00247
1.985,-230.8694
1.99,-87.56517
1.995,20.877138
2.0,113.707
2.005,214.13887
2.01,343.79733
2.015,517.1848
2.02,737.50507
2.025,994.92584
2.03,1267.8328
2.035,1526.9315
2.04,1741.3625
2.045,1885.4631
2.05,1944.6014
2.055,1918.6566
2.06,1822.2361
2.065,1681.4641
2.07,1527.9962
2.075,1391.6006
2.08,1293.0342
2.085,1238.9216
2.09,1219.9169
2.095,1212.6749
2.1,1185.2642
2.105,1104.8162
2.11,945.64746
2.115,695.9338
2.12,361.3172
2.125,-35.475433
2.13,-458.9979
2.135,-868.4853
2.14,-1226.6086
2.145,-1507.5569
2.15,-1702.5536
2.155,-1821.4951
2.16,-1890.297
2.165,-1944.5381
2.17,-2020.8645
2.175,-2148.1443
2.18,-2340.4304
2.185,-2593.3706
2.19,-2884.8904
2.195,-3179.9883
2.2,-3438.5122
2.205,-3624.1028
2.21,-3712.234
2.215,-3695.4998
2.22,-3584.969
2.225,-3407.3486
2.23,-3198.6824
2.235,-2996.1025
2.24,-2829.5742
2.245,-2715.5366
2.25,-2653.8574
2.255,-2628.7031
2.26,-2613.0032
2.265,-2575.3423
2.27,-2487.5896
2.275,-2331.446
2.28,-2102.4194
2.285,-1810.3904
2.29,-1476.7877
2.295,-1129.1959
2.3,-794.8083
2.305,-494.35977
2.31,-237.99089
2.315,-23.959425
2.32,159.62273
2.325,330.61078
2.33,507.37778
2.335,703.5417
2.34,924.2184
2.345,1164.7133
2.35,1411.9069
2.355,1647.8853
2.36,1854.7898
2.365,2019.5658
2.37,2137.336
2.375,2212.5044
2.38,2257.3044
2.385,2288.1792
2.39,2320.9543
2.395,2366.091
2.4,2425.2861
2.405,2490.355
2.41,2544.7458
2.415,2567.3645
2.42,2537.7786
2.425,2441.5159
2.43,2274.1133
2.435,2042.8713
2.44,1765.818
2.445,1468.0731
2.45,1176.4468
2.455,913.5444
2.46,692.7867
2.465,515.5454
2.47,371.09055
2.475,239.38069
2.48,96.04665
2.485,-81.599106
2.49,-308.93582
2.495,-590.1015
2.5,-916.658
2.505,-1269.1403
2.51,-1621.0995
2.515,-1944.6729
2.52,-2216.3752
2.525,-2421.7803
2.53,-2558.0469
2.535,-2633.775
2.54,-2666.307
2.545,-2677.1812
2.55,-2686.8538
2.555,-2709.937
2.56,-2752.036
2.565,-2808.849
2.57,-2867.6487
2.575,-2910.6777
2.58,-2919.5837
2.585,-2879.7886
2.59,-2783.765
2.595,-2632.4946
2.6,-2434.8523
2.605,-2205.1697
2.61,-1959.6642
2.615,-1712.6547
2.62,-1473.5054
2.625,-1245.0087
2.63,-1023.5368
2.635,-800.8412
2.64,-566.9695
2.645,-313.5169
2.65,-36.36997
2.655,262.7413
2.66,576.24744
2.665,892.26306
2.67,1197.2133
2.675,1478.8801
2.68,1729.098
2.685,1945.4288
2.69,2131.4148
2.695,2295.3638
2.7,2447.9844
2.705,2599.46
2.71,2756.6775
2.715,2921.2742
2.72,3088.956
2.725,3250.2278
2.73,3392.3386
2.735,3501.9634
2.74,3567.986
2.745,3583.741
2.75,3548.2253
2.755,3466.0444
2.76,3346.157
2.765,3199.7632
2.77,3037.854
2.775,2868.999
2.78,2697.858
2.785,2524.7131
2.79,2346.0652
2.795,2156.0867
2.8,1948.5437
2.805,1718.709
2.81,1464.8265
2.815,1188.8153
