#Time (uint32)[1],RtAcc (float32)[1],MotorPosition (int32)[1],EncoderPosition (uint32)[1]
1130000,2187.314748,-615,28
1135000,1965.879440,-617,33
1140000,1748.400115,-619,38
1145000,1540.850543,-620,44
1150000,1348.646759,-622,49
1155000,1176.522374,-624,54
1160000,1028.424739,-625,58
1165000,907.438564,-627,62
1170000,815.732479,-628,66
1175000,754.535245,-630,71
1180000,724.138450,-631,75
1185000,723.925209,-633,80
1190000,752.424860,-634,84
1195000,807.390117,-635,88
1200000,885.894680,-637,91
1205000,984.448051,-638,94
1210000,1099.123239,-640,98
1215000,1225.693821,-641,102
1220000,1359.776616,-642,105
1225000,1496.974086,-643,107
1230000,1633.013963,-645,110
1235000,1763.881111,-646,112
1240000,1885.937881,-647,114
1245000,1996.029758,-648,116
1250000,2091.573715,-649,119
1255000,2170.625686,-650,121
1260000,2231.928348,-651,122
1265000,2274.933338,-652,124
1270000,2299.803733,-653,125
1275000,2307.391405,-653,125
1280000,2299.194335,-654,126
1285000,2277.293682,-655,127
1290000,2244.272470,-655,127
1295000,2203.120708,-656,128
1300000,2157.127141,-656,127
1305000,2109.764814,-657,126
1310000,2064.569950,-657,125
1315000,2025.019884,-657,124
1320000,1994.416427,-658,123
1325000,1975.772094,-658,123
1330000,1971.708488,-658,122
1335000,1984.366416,-658,120
1340000,2015.331029,-658,118
1345000,2065.575838,-658,116
1350000,2135.423898,-658,113
1355000,2224.529743,-658,111
1360000,2331.882476,-658,109
1365000,2455.827474,-658,107
1370000,2594.108343,-658,105
1375000,2743.925571,-657,101
1380000,2902.013587,-657,97
1385000,3064.727544,-656,94
1390000,3228.146314,-656,90
1395000,3388.177633,-655,87
1400000,3540.671110,-654,85
1405000,3681.533098,-654,81
1410000,3806.838226,-653,76
1415000,3912.935256,-652,70
1420000,3996.547698,-651,65
1425000,4054.860591,-649,61
1430000,4085.593700,-648,57
1435000,4087.065696,-647,53
1440000,4058.231353,-645,48
1445000,3998.711109,-644,42
1450000,3908.796310,-642,35
1455000,3789.438724,-640,30
1460000,3642.222166,-638,26
1465000,3469.317674,-636,21
1470000,3273.424863,-634,16
1475000,3057.697534,-632,9
1480000,2825.661849,-630,2
1485000,2581.124067,-627,65532
1490000,2328.074216,-625,65527
1495000,2070.584774,-622,65522
1500000,1812.711715,-620,65517
1505000,1558.397293,-617,65511
1510000,1311.378836,-615,65503
1515000,1075.103044,-612,65496
1520000,852.652931,-609,65491
1525000,646.684932,-607,65486
1530000,459.378767,-604,65482
1535000,292.401361,-601,65476
1540000,146.885814,-598,65470
1545000,23.424136,-596,65463
1550000,-77.925410,-593,65457
1555000,-157.617321,-590,65452
1560000,-216.585540,-587,65449
1565000,-256.198906,-585,65445
1570000,-278.207230,-582,65440
1575000,-284.679841,-579,65434
1580000,-277.938294,-576,65429
1585000,-260.485959,-574,65423
1590000,-234.936165,-571,65420
1595000,-203.940963,-568,65417
1600000,-170.122766,-566,65414
1605000,-136.010420,-563,65410
1610000,-103.981471,-560,65406
1615000,-76.211771,-558,65401
1620000,-54.633708,-555,65398
1625000,-40.903644,-552,65394
1630000,-36.379001,-550,65392
1635000,-42.105236,-547,65390
1640000,-58.812346,-544,65388
1645000,-86.920537,-542,65386
1650000,-126.554286,-539,65384
1655000,-177.563772,-536,65381
1660000,-239.552640,-534,65379
1665000,-311.910581,-531,65378
1670000,-393.849735,-528,65377
1675000,-484.443044,-526,65377
1680000,-582.663583,-523,65376
1685000,-687.423086,-520,65376
1690000,-797.608709,-518,65375
1695000,-912.117004,-515,65375
1700000,-1029.883742,-513,65374
1705000,-1149.909377,-510,65374
1710000,-1271.278738,-508,65375
1715000,-1393.176441,-505,65377
1720000,-1514.895343,-503,65379
1725000,-1635.840320,-500,65380
1730000,-1755.527114,-498,65381
1735000,-1873.575782,-495,65382
1740000,-1989.700698,-493,65384
1745000,-2103.697776,-491,65386
1750000,-2215.428113,-489,65388
1755000,-2324.801206,-487,65392
1760000,-2431.757926,-485,65395
1765000,-2536.253452,-483,65398
1770000,-2638.239622,-481,65401
1775000,-2737.653493,-479,65404
1780000,-2834.403514,-477,65407
1785000,-2928.362369,-475,65411
1825000,-3019.360780,-462,65449
1830000,-3107.187747,-461,65455
1835000,-3191.589593,-459,65461
1840000,-3272.276639,-458,65466
1845000,-3348.930835,-456,65470
1850000,-3421.215772,-455,65475
1855000,-3488.788366,-454,65481
1860000,-3551.313161,-453,65488
1865000,-3608.475923,-452,65495
1870000,-3659.995794,-451,65502
1875000,-3705.640077,-450,65507
1880000,-3745.233297,-450,65512
1885000,-3778.666019,-449,65518
1890000,-3805.901050,-448,65526
1895000,-3826.975345,-448,65533
1900000,-3841.999530,-447,19
1915000,-3851.152420,-447,23
1920000,-3854.674148,-447,30
1925000,-3852.853012,-447,37
1930000,-3846.012878,-447,43
1935000,-3834.496307,-447,49
1940000,-3818.644332,-447,55
1945000,-3798.780918,-447,61
1950000,-3775.188922,-448,68
1955000,-3748.095035,-448,75
1960000,-3717.651128,-449,81
1965000,-3683.919668,-450,87
1970000,-3646.862506,-451,93
1975000,-3606.333494,-451,99
1980000,-3562.075853,-453,105
1985000,-3513.723134,-454,111
1990000,-3460.805654,-455,117
1995000,-3402.765274,-456,122
2000000,-3338.970661,-457,128
2005000,-3268.738269,-459,133
2010000,-3191.361427,-460,138
2015000,-3106.137037,-462,144
2020000,-3012.398242,-464,149
2025000,-2909.549522,-466,154
2030000,-2797.097921,-467,158
2035000,-2674.689769,-469,162
2040000,-2542.138814,-471,166
2045000,-2399.455547,-473,169
2050000,-2246.871709,-476,174
2055000,-2084.857702,-478,178
2060000,-1914.135360,-480,181
2065000,-1735.683059,-482,185
2070000,-1550.732707,-485,188
2075000,-1360.760331,-487,190
2080000,-1167.467474,-489,192
2085000,-972.754955,-492,194
2090000,-778.690052,-494,196
2095000,-587.465763,-497,198
2100000,-401.355457,-499,200
2105000,-222.662353,-502,202
2110000,-53.665428,-504,203
2115000,103.436136,-507,203
2120000,246.579003,-510,203
2125000,373.890614,-512,203
2130000,483.740997,-515,202
2135000,574.790430,-517,202
2140000,646.030950,-520,201
2145000,696.820259,-522,200
2150000,726.908206,-524,199
2155000,736.452627,-527,198
2160000,726.025915,-529,196
2165000,696.610927,-532,193
2170000,649.585914,-534,191
2175000,586.699581,-536,188
2180000,510.035991,-539,185
2185000,421.970176,-541,182
2190000,325.116014,-543,179
2195000,222.267103,-546,176
2200000,116.332626,-548,172
2205000,10.269572,-550,168
2210000,-92.986717,-553,163
2215000,-190.591793,-555,158
2220000,-279.859328,-557,153
2225000,-358.324384,-560,149
2230000,-423.801088,-562,144
2235000,-474.433040,-564,139
2240000,-508.734941,-567,134
2245000,-525.624752,-569,128
2250000,-524.444818,-571,121
2255000,-504.972076,-574,115
2260000,-467.416715,-576,110
2265000,-412.409210,-579,104
2270000,-340.976834,-581,98
2275000,-254.509735,-583,92
2280000,-154.717755,-586,85
2285000,-43.579578,-588,77
2290000,76.714644,-591,70
2295000,203.825187,-593,64
2300000,335.327529,-596,58
2305000,468.777894,-598,51
2310000,601.777982,-600,43
2315000,732.036542,-603,36
2320000,857.426452,-605,28
2325000,976.035308,-608,21
2330000,1086.208705,-610,15
2335000,1186.583404,-612,7
2340000,1276.112675,-615,65535
2345000,1354.079484,-617,65528
2350000,1420.099830,-619,65520
2355000,1474.115276,-621,65514
2360000,1516.376018,-623,65507
2365000,1547.413253,-626,65500
2370000,1568.004035,-628,65492
2375000,1579.129219,-630,65484
2380000,1581.925392,-632,65477
2385000,1577.631950,-634,65470
2390000,1567.538261,-636,65464
2395000,1552.927970,-638,65458
2400000,1535.026788,-639,65451
2405000,1514.952087,-641,65443
2410000,1493.668794,-643,65435
2415000,1471.951103,-645,65429
2420000,1450.351953,-646,65423
2425000,1429.181098,-648,65418
2430000,1408.493995,-650,65412
2435000,1388.089065,-651,65406
2440000,1367.515921,-653,65400
2445000,1346.094250,-654,65394
2450000,1322.940230,-656,65388
2455000,1297.002677,-657,65383
2460000,1267.106413,-659,65378
2465000,1232.001423,-660,65374
2470000,1190.415496,-661,65369
2475000,1141.111254,-663,65365
2480000,1082.941646,-664,65360
2485000,1014.906644,-665,65357
2490000,936.204433,-666,65353
2495000,846.279525,-667,65349
2500000,744.863557,-669,65346
2505000,632.008218,-670,65343
2510000,508.108711,-671,65341
2515000,373.917388,-672,65338
2520000,230.546331,-673,65336
2525000,79.458651,-674,65334
2530000,-77.551345,-675,65332
2535000,-238.388657,-677,65330
2540000,-400.698423,-678,65329
2545000,-561.915493,-679,65329
2550000,-719.322204,-680,65328
2555000,-870.112037,-681,65328
2560000,-1011.458039,-682,65329
2565000,-1140.583157,-683,65329
2570000,-1254.832148,-685,65329
2575000,-1351.741313,-686,65330
2580000,-1429.104423,-687,65331
2585000,-1485.034465,-689,65333
2590000,-1518.016576,-690,65335
2595000,-1526.953220,-691,65336
2600000,-1511.199712,-693,65338
2605000,-1470.586395,-694,65341
2610000,-1405.431985,-696,65344
2615000,-1316.541671,-697,65347
2620000,-1205.195069,-699,65351
2625000,-1073.120474,-700,65355
2630000,-922.458457,-702,65359
2635000,-755.715560,-704,65363
2640000,-575.707435,-705,65367
2645000,-385.495281,-707,65371
2650000,-188.315982,-709,65376
2655000,12.491772,-711,65381
2660000,213.563537,-712,65387
2665000,411.585140,-714,65392
2670000,603.366804,-716,65398
2675000,785.913515,-717,65404
2680000,956.489181,-719,65410
2685000,1112.674474,-721,65416
2690000,1252.414107,-722,65421
2695000,1374.056816,-724,65427
2700000,1476.382160,-726,65434
2705000,1558.616161,-727,65441
2710000,1620.438575,-729,65448
2715000,1661.974191,-730,65455
2720000,1683.776283,-731,65462
2725000,1686.798954,-733,65468
2730000,1672.360324,-734,65474
2735000,1642.097377,-735,65481
2740000,1597.915267,-737,65489
2745000,1541.930294,-738,65496
2750000,1476.410865,-739,65503
2755000,1403.716945,-740,65510
2760000,1326.238870,-741,65516
2765000,1246.339321,-742,65523
2770000,1166.297793,-743,65531
2775000,1088.260765,-744,3
2780000,1014.198184,-745,9
2785000,945.866107,-746,16
2790000,884.778594,-747,23
2795000,832.187366,-748,30
2800000,789.069795,-749,37
2805000,756.126213,-750,44
2810000,733.784627,-750,51
2815000,722.214031,-751,57
2820000,721.343231,-752,63
2825000,730.886411,-753,69
2830000,750.373077,-754,74
2835000,779.181241,-754,81
2840000,816.572475,-755,87
2845000,861.728000,-756,93
2850000,913.783836,-756,98
2855000,971.864128,-757,104
2860000,1035.111427,-758,109
2865000,1102.712750,-758,114
2870000,1173.920989,-764,153
2915000,1248.070597,-764,155
2920000,1324.589014,-764,158
2925000,1402.998352,-765,160
2930000,1482.915973,-765,163
2935000,1564.046001,-766,165
2940000,1646.167659,-766,167
2945000,1729.117631,-766,168
2950000,1812.771701,-767,169
2955000,1897.020244,-767,170
2960000,1981.745910,-767,172
2965000,2066.799640,-767,172
2970000,2151.975631,-767,173
2975000,2236.992835,-767,173
2980000,2321.474790,-767,172
2985000,2404.936790,-767,171
2990000,2486.775398,-767,171
2995000,2566.265344,-767,170
3000000,2642.560720,-767,169
3005000,2714.701890,-766,168
3010000,2781.629323,-766,166
3015000,2842.201423,-766,163
3020000,2895.219612,-765,161
3025000,2939.455223,-764,158
3030000,2973.681640,-764,155
3035000,2996.707725,-763,152
3040000,3007.414102,-762,149
3045000,3004.788160,-761,146
3050000,2987.958717,-760,142
3055000,2956.228733,-759,137
3060000,2909.104156,-758,133
3065000,2846.317100,-757,128
3070000,2767.846822,-755,123
3075000,2673.931837,-754,118
3080000,2565.074920,-753,113
3085000,2442.043066,-751,108
3090000,2305.857896,-749,103
3095000,2157.781362,-748,97
3100000,1999.291992,-746,91
3105000,1832.055664,-744,85
3110000,1657.891273,-743,78
3115000,1478.731536,-741,72
3120000,1296.578769,-739,66
3125000,1113.461494,-737,60
3130000,931.386184,-735,53
3135000,752.291631,-733,47
3140000,578.005170,-731,39
3145000,410.200548,-729,32
3150000,250.360918,-727,26
3155000,99.746961,-725,19
3160000,-40.628728,-723,12
3165000,-170.020198,-721,5
3170000,-287.959117,-719,65534
3175000,-394.258003,-717,65527
3180000,-489.005136,-715,65521
3185000,-572.552251,-713,65514
3190000,-645.494508,-711,65507
3195000,-708.643913,-709,65499
3200000,-762.997007,-707,65493
3205000,-809.697723,-705,65486
3210000,-849.996852,-703,65480
3215000,-885.208797,-702,65474
3220000,-916.668415,-700,65468
3225000,-945.686531,-698,65461
3230000,-973.509883,-696,65455
3235000,-1001.281619,-694,65448
3240000,-1030.008196,-692,65443
3245000,-1060.529828,-691,65438
3250000,-1093.499069,-689,65432
3255000,-1129.364848,-687,65427
3260000,-1168.364405,-686,65422
3265000,-1210.522890,-684,65417
3270000,-1255.659222,-682,65412
3275000,-1303.400993,-681,65407
3280000,-1353.204727,-679,65403
3285000,-1404.381275,-678,65398
3290000,-1456.128025,-676,65394
3295000,-1507.562255,-675,65390
3300000,-1557.759857,-674,65387
3305000,-1605.792617,-672,65383
3310000,-1650.766754,-671,65380
3315000,-1691.859483,-670,65378
3320000,-1728.352928,-668,65375
3325000,-1759.663486,-667,65372
3330000,-1785.366630,-666,65370
3335000,-1805.215835,-665,65368
3340000,-1819.153785,-664,65367
3345000,-1827.318096,-663,65365
3350000,-1830.037117,-662,65364
3355000,-1827.822685,-661,65363
3360000,-1821.350097,-660,65363
3365000,-1811.437034,-659,65362
3370000,-1799.013376,-659,65362
3375000,-1785.087013,-658,65362
3380000,-1770.706558,-657,65363
3385000,-1756.921672,-657,65363
3390000,-1744.740104,-656,65364
3395000,-1735.089540,-656,65366
